file,label
../data/raw/normal_001.mat,normal
../data/raw/normal_002.mat,normal
../data/raw/normal_003.mat,normal
../data/raw/normal_004.mat,normal
../data/raw/normal_005.mat,normal
../data/raw/normal_006.mat,normal
../data/raw/normal_007.mat,normal
../data/raw/normal_008.mat,normal
../data/raw/normal_009.mat,normal
../data/raw/normal_010.mat,normal
../data/raw/normal_011.mat,normal
../data/raw/normal_012.mat,normal
../data/raw/normal_013.mat,normal
../data/raw/normal_014.mat,normal
../data/raw/normal_015.mat,normal
../data/raw/normal_016.mat,normal
../data/raw/normal_017.mat,normal
../data/raw/normal_018.mat,normal
../data/raw/normal_019.mat,normal
../data/raw/normal_020.mat,normal
../data/raw/SLG_001.mat,SLG
../data/raw/SLG_002.mat,SLG
../data/raw/SLG_003.mat,SLG
../data/raw/SLG_004.mat,SLG
../data/raw/SLG_005.mat,SLG
../data/raw/SLG_006.mat,SLG
../data/raw/SLG_007.mat,SLG
../data/raw/SLG_008.mat,SLG
../data/raw/SLG_009.mat,SLG
../data/raw/SLG_010.mat,SLG
../data/raw/SLG_011.mat,SLG
../data/raw/SLG_012.mat,SLG
../data/raw/SLG_013.mat,SLG
../data/raw/SLG_014.mat,SLG
../data/raw/SLG_015.mat,SLG
../data/raw/SLG_016.mat,SLG
../data/raw/SLG_017.mat,SLG
../data/raw/SLG_018.mat,SLG
../data/raw/SLG_019.mat,SLG
../data/raw/SLG_020.mat,SLG
../data/raw/LLG_001.mat,LLG
../data/raw/LLG_002.mat,LLG
../data/raw/LLG_003.mat,LLG
../data/raw/LLG_004.mat,LLG
../data/raw/LLG_005.mat,LLG
../data/raw/LLG_006.mat,LLG
../data/raw/LLG_007.mat,LLG
../data/raw/LLG_008.mat,LLG
../data/raw/LLG_009.mat,LLG
../data/raw/LLG_010.mat,LLG
../data/raw/LLG_011.mat,LLG
../data/raw/LLG_012.mat,LLG
../data/raw/LLG_013.mat,LLG
../data/raw/LLG_014.mat,LLG
../data/raw/LLG_015.mat,LLG
../data/raw/LLG_016.mat,LLG
../data/raw/LLG_017.mat,LLG
../data/raw/LLG_018.mat,LLG
../data/raw/LLG_019.mat,LLG
../data/raw/LLG_020.mat,LLG
../data/raw/LLL_001.mat,LLL
../data/raw/LLL_002.mat,LLL
../data/raw/LLL_003.mat,LLL
../data/raw/LLL_004.mat,LLL
../data/raw/LLL_005.mat,LLL
../data/raw/LLL_006.mat,LLL
../data/raw/LLL_007.mat,LLL
../data/raw/LLL_008.mat,LLL
../data/raw/LLL_009.mat,LLL
../data/raw/LLL_010.mat,LLL
../data/raw/LLL_011.mat,LLL
../data/raw/LLL_012.mat,LLL
../data/raw/LLL_013.mat,LLL
../data/raw/LLL_014.mat,LLL
../data/raw/LLL_015.mat,LLL
../data/raw/LLL_016.mat,LLL
../data/raw/LLL_017.mat,LLL
../data/raw/LLL_018.mat,LLL
../data/raw/LLL_019.mat,LLL
../data/raw/LLL_020.mat,LLL
